PC1,PC2,Cluster,HC_Cluster,DBscan_Cluster
-1.3598512095479494,-1.1950016548183298,0,0,0
-2.00268544969042,0.5224636421210263,1,3,0
-0.49522735174406923,3.2768101836031116,1,2,1
0.28151324706293607,-0.8336941664455678,0,0,0
-1.2617323017078108,-2.5997653928324542,0,0,0
-2.6749918788231484,0.8769015088504832,1,3,0
0.5851140933514911,0.6096220708817511,1,0,0
1.2887306492015609,-1.8163561356437148,0,2,1
1.3248860573175871,0.40910882571848967,2,0,0
-0.49523165849430184,-0.05346344955499395,1,0,0
-1.769183434776775,-0.34788756245783553,1,0,0
0.8174257490550324,-0.6250784471224651,0,1,1
1.739225307485501,-0.30461642415848594,2,2,-1
-0.09221985800535382,1.0086469271338039,1,3,0
-0.327843052957966,0.8806117375787533,1,2,1
3.006524101878501,-1.17298100463075,2,1,1
0.3098362461801151,0.23296509646884697,1,0,0
-1.2761513116344334,-1.3645617276392301,0,0,0
1.0061520818889709,-0.44260990963734637,0,2,1
0.21521931054945573,-3.1575214877678524,0,0,0
-0.9124100413839514,-1.4880832634156436,0,0,0
-1.5936795919053082,0.2150802807047151,1,2,1
-2.0020530034552837,-0.146046068317257,1,0,0
-1.2836355589293396,0.12378505141536417,1,0,0
-1.1784471125889449,1.2309514172342373,1,3,0
0.22889633277790583,0.5906431584318219,1,0,0
-0.6834435098374922,-0.05359341150232263,1,0,0
3.159203755157521,-2.2559706011012506,2,1,-1
-0.02847128220319275,1.88300583312357,1,3,0
-0.1616970063454697,-2.1977354237740108,0,0,0
2.463884049096002,-0.5098996941689931,2,1,1
1.0543577574582825,-2.954614110874115,0,2,1
-1.0459598111051271,0.26532702371915423,1,2,1
-1.1293670362430694,1.0350247556826535,1,3,0
-1.8253544756210418,-0.5137377389021082,1,0,0
-0.9406421891526764,1.0899607632221089,1,3,0
-0.8392096665429032,0.6017471708539279,1,3,0
1.5606428190189525,1.8772888734032183,2,2,-1
-0.8755307678089662,-0.517623184735571,0,0,0
-1.9572024962315244,0.272059328222007,1,3,0
0.4409235108251981,-1.194748113074322,0,0,0
-1.0052008585505519,0.8068490734779177,1,3,0
-0.9545485823459293,-0.2579607568533889,1,0,0
-0.6910190680015003,-0.8287930943613375,0,0,0
0.8357054003921626,-1.1561708162637285,0,2,1
0.6707851813332922,0.921589245847525,1,0,0
-0.14080083188188763,2.7459433594333302,1,3,0
4.136792044741575,-0.5425815761913599,2,1,1
0.1441250529864382,0.8724971294288135,1,2,1
-0.9019276666212465,-1.031011846367404,0,2,1
-1.041191704279027,-0.41414210355362086,0,0,0
-0.9566200376661561,-0.31723268603974614,1,0,0
-0.9579507689315433,0.7378331646152962,1,0,0
